model,class,f1_mean,f1_std
efficientnet_b0,Bacteria,0.9689739499568596,0.011326584273122879
efficientnet_b0,Fungi,0.8393936620931775,0.01989122328002051
efficientnet_b0,Healthy,0.792593079029045,0.0383941689191392
efficientnet_b0,Nematode,0.584224368633868,0.08617934777246128
efficientnet_b0,Pest,0.827542755720384,0.01755254062976501
efficientnet_b0,Phytopthora,0.8731973629459728,0.035467623381740684
efficientnet_b0,Virus,0.8846940196697428,0.027839124323856126
mobilenetv2_100,Bacteria,0.9527836951296221,0.015525060903195748
mobilenetv2_100,Fungi,0.8332191289929902,0.02580742532326675
mobilenetv2_100,Healthy,0.7425902232406576,0.058860145118882976
mobilenetv2_100,Nematode,0.699740958275441,0.062425823848204075
mobilenetv2_100,Pest,0.8020596657543982,0.027820685562400943
mobilenetv2_100,Phytopthora,0.8653414444614469,0.04228807319376793
mobilenetv2_100,Virus,0.8626500797594742,0.02327170657352507
resnet50,Bacteria,0.9697817080024612,0.01072676981432797
resnet50,Fungi,0.8586230012660933,0.020182319902436664
resnet50,Healthy,0.8169918529872002,0.04457491381962218
resnet50,Nematode,0.8589483390173047,0.07815631248079559
resnet50,Pest,0.847517464108459,0.022708995728413593
resnet50,Phytopthora,0.8782290486547342,0.03789940799043922
resnet50,Virus,0.9064593842975804,0.028958067640301042
vit_base_patch16_224,Bacteria,0.9796990395338788,0.011058936316795224
vit_base_patch16_224,Fungi,0.8847964554207166,0.020284297706719013
vit_base_patch16_224,Healthy,0.8601259706199873,0.028786897582369013
vit_base_patch16_224,Nematode,0.8779905602754179,0.06931848461102676
vit_base_patch16_224,Pest,0.8694047085156871,0.023653818725034047
vit_base_patch16_224,Phytopthora,0.8943001125978286,0.026003005651587533
vit_base_patch16_224,Virus,0.9225258282248184,0.017986443143150208
