sample_id,class_name,map_iou,pair_id,A_model,B_model
Fungi_05,Fungi,0.000997406742469579,P00,vit,resnet
Nematode_07,Nematode,0.0020968547179231155,P01,resnet,vit
Fungi_08,Fungi,0.0030483234221178354,P02,resnet,vit
Pest_17,Pest,0.005309025343083242,P03,resnet,vit
Fungi_04,Fungi,0.020904328365800317,P04,vit,resnet
Fungi_11,Fungi,0.021936074918566775,P05,vit,resnet
Pest_04,Pest,0.023768234214016117,P06,resnet,vit
Fungi_10,Fungi,0.024133884381856218,P07,resnet,vit
Pest_02,Pest,0.025703919464459095,P08,resnet,vit
Virus_00,Virus,0.028911215911420957,P09,resnet,vit
Virus_10,Virus,0.030020013342228154,P10,resnet,vit
Pest_03,Pest,0.03235097464383069,P11,resnet,vit
Nematode_06,Nematode,0.03357363542739444,P12,resnet,vit
Fungi_13,Fungi,0.03431751429896429,P13,resnet,vit
Fungi_06,Fungi,0.03940759152814458,P14,vit,resnet
Nematode_05,Nematode,0.04183535762483131,P15,resnet,vit
Fungi_14,Fungi,0.04199761200228417,P16,vit,resnet
Fungi_07,Fungi,0.04199761200228417,P17,resnet,vit
Virus_05,Virus,0.04508772843234238,P18,vit,resnet
Fungi_03,Fungi,0.053415888340854235,P19,resnet,vit
Pest_14,Pest,0.06601518933559934,P20,resnet,vit
Pest_11,Pest,0.06947996589940324,P21,resnet,vit
Virus_11,Virus,0.08655876143560873,P22,vit,resnet
Pest_10,Pest,0.08968512486427796,P23,vit,resnet
Bacteria_07,Bacteria,0.09294854342499319,P24,resnet,vit
Pest_08,Pest,0.09509520432102134,P25,resnet,vit
Virus_09,Virus,0.09533424283765347,P26,resnet,vit
Fungi_18,Fungi,0.09623156744948116,P27,resnet,vit
Bacteria_04,Bacteria,0.09971509971509972,P28,resnet,vit
Pest_07,Pest,0.10061961945495422,P29,vit,resnet
Pest_16,Pest,0.10285714285714286,P30,vit,resnet
Phytopthora_03,Phytopthora,0.11090204759269508,P31,resnet,vit
Virus_08,Virus,0.1110988098533075,P32,vit,resnet
Virus_17,Virus,0.11236702127659574,P33,vit,resnet
Bacteria_08,Bacteria,0.11300876122879007,P34,resnet,vit
Fungi_16,Fungi,0.1313193935636589,P35,resnet,vit
Fungi_09,Fungi,0.13132679517529028,P36,resnet,vit
Phytopthora_12,Phytopthora,0.13465234595816847,P37,vit,resnet
Fungi_01,Fungi,0.13677295123746955,P38,resnet,vit
Virus_12,Virus,0.13789390160961235,P39,vit,resnet
